Distincts,user_of_ibbwifi,ibbwifiuser_divpopulation,Ilce_Nufus2023,Haftalik_Spor_Yapmayanlar,Haftalik_Spor_Yapanlar,Haftalik_Spor_Yapmayanlar_Yuzdelik,Haftalik_Spor_Yapanlar_Yuzdelik,Üye,ÜyeDegil,STK_Üye_Yuzdelik,STK_UyeDegil_Yuzdelik,Ilçe_Ait hissetmiyorum,Ilçe_Ne ait hissediyorum ne hissetmiyorum,Ilçe_Ait hissediyorum,Yuzdelik_Ilçe_Ait hissetmiyorum,Yuzdelik_Ilçe_Ne ait hissediyorum ne hissetmiyorum,Yuzdelik_Ilçe_Ait hissediyorum,Tatil_Yapmayanlar,Tatil_Yapanlar,Tatil_Yapmayanlar_Yuzdelik,Tatil_Yapanlar_Yuzdelik, Ev_Sahibi, Ev_Sahibi_Degil, Ev_Sahibi_Yuzdelik, Ev_Sahibi_Degil_Yuzdelik,Ortalama Brüt (m2),Ortalama Net (m2), Hiz_Memnunum, Hiz_Ne Memnunum Ne Memnun Degilim, Hiz_Memnun Degilim, Hiz_Emin Degilim / Fikrim Yok, Fiyat_Memnunum, Fiyat_Ne Memnunum Ne Memnun Degilim, Fiyat_Memnun Degilim, Fiyat_Emin Degilim / Fikrim Yok,Baglanti kopma sorunu_Memnunum,Baglanti kopma sorunu_Ne Memnunum Ne Memnun Degilim,Baglanti kopma sorunu_Memnun Degilim,Baglanti kopma sorunu_Emin Degilim / Fikrim Yok,Müsteri Hizmetleri_Memnunum,Müsteri Hizmetleri_Ne Memnunum Ne Memnun Degilim,Müsteri Hizmetleri_Memnun Degilim,Müsteri Hizmetleri_Emin Degilim / Fikrim Yok,Evcil Hayvan_Var,Evcil Hayvan_Yok,Sosyal Yardim Alma_Evet,Sosyal Yardim Alma_Hayir,Ortalama Hanehalki Büyüklügü 2023,EvselAtik,EvselAtik_kisibasi,Egitim_Önemli Degil,Egitim_Ne Önemli Ne Önemli Degil,Egitim_Önemli,Average of SES
ADALAR,35412,2.169188361,16325,76,11,87%,13%,1,94,1%,99%,3,7,80,3%,8%,89%,79,8,91%,9%,186,176,51%,49%,94,82,18,8,35,1,10,15,36,1,14,14,32,2,21,15,23,3,79,283,9,353,2.31,11109,0.680503522,1%,1%,98%,65
ARNAVUTKÖY,47858,0.142408246,336062,193,21,90%,10%,2,219,1%,99%,52,34,113,26%,17%,57%,260,24,92%,8%,358,472,43%,57%,102,93,5,9,24,10,1,10,27,9,2,14,22,8,3,16,17,10,81,749,470,360,3.75,113185,0.336798716,5%,26%,70%,17.43421053
ATASEHIR,74948,0.17993465,416529,287,46,86%,14%,7,327,2%,98%,53,48,242,15%,14%,71%,218,115,65%,35%,621,797,44%,56%,108,93,111,44,53,24,77,51,78,26,83,56,67,26,100,51,52,29,268,1150,107,1311,2.91,171944,0.412802566,4%,14%,82%,48.52941176
AVCILAR,264165,0.604191016,437221,329,14,96%,4%,0,402,0%,100%,26,77,215,8%,24%,68%,300,43,87%,13%,788,617,56%,44%,103,94,34,66,15,24,24,76,18,19,23,75,17,20,29,70,15,24,28,1377,401,1004,3.2,147952,0.338390882,3%,11%,86%,43.75
BAGCILAR,222191,0.308997303,719071,527,25,95%,5%,0,510,0%,100%,38,124,296,8%,27%,65%,505,46,92%,8%,986,1065,48%,52%,105,96,30,168,16,161,28,166,28,154,32,164,23,155,34,164,16,159,13,2038,1394,657,3.65,180695,0.251290109,1%,7%,92%,22.72727273
BAHÇELIEVLER,947946,1.669365746,567848,393,44,90%,10%,0,542,0%,100%,79,122,240,18%,28%,54%,408,27,94%,6%,1044,874,54%,46%,103,94,20,48,23,7,12,41,38,6,19,49,25,5,17,39,21,20,49,1869,679,1239,3.21,254344,0.447908437,12%,31%,57%,47.72727273
BAKIRKÖY,423430,1.920526497,220476,136,72,65%,35%,19,176,10%,90%,17,13,171,8%,6%,85%,81,742,10%,90%,472,351,57%,43%,109,99,78,44,62,11,74,40,68,14,69,48,67,12,82,49,47,16,217,606,43,780,2.73,102999,0.467166313,1%,3%,97%,86.66666667
BASAKSEHIR,149306,0.292805664,509915,210,113,65%,35%,6,363,2%,98%,84,56,173,27%,18%,55%,254,67,79%,21%,747,655,53%,47%,106,99,59,55,106,11,42,42,110,25,47,55,96,17,49,65,95,8,132,1270,218,1184,3.58,218726,0.428946883,23%,17%,60%,45
BAYRAMPASA,406909,1.513516831,268850,191,25,88%,12%,6,216,3%,97%,16,24,173,8%,11%,81%,134,730,16%,84%,506,358,59%,41%,93,83,84,45,49,18,67,56,53,20,74,56,47,18,84,58,31,22,152,712,35,829,3.15,117938,0.438677553,2%,7%,91%,25
BESIKTAS,355361,2.102454118,169022,157,28,85%,15%,7,184,4%,96%,7,48,132,4%,26%,71%,105,659,14%,86%,433,331,57%,43%,105,95,66,63,44,17,55,68,51,15,60,63,51,13,62,66,39,21,151,613,12,752,2.29,109313,0.646735514,1%,15%,84%,91.30434783
