Ilçe,Haftalik_Spor_Yapmayanlar,Haftalik_Spor_Yapanlar,Haftalik_Spor_Yapmayanlar_Yuzdelik,Haftalik_Spor_Yapanlar_Yuzdelik
 ADALAR,76,11,87%,13%
 ARNAVUTKÖY,193,21,90%,10%
 ATASEHIR,287,46,86%,14%
 AVCILAR,329,14,96%,4%
 BAGCILAR,527,25,95%,5%
 BAHÇELIEVLER,393,44,90%,10%
 BAKIRKÖY,136,72,65%,35%
 BASAKSEHIR,210,113,65%,35%
 BAYRAMPASA,191,25,88%,12%
 BESIKTAS,157,28,85%,15%
 BEYKOZ,174,17,91%,9%
 BEYLIKDÜZÜ,205,55,79%,21%
 BEYOGLU,177,22,89%,11%
 BÜYÜKÇEKMECE,146,72,67%,33%
 ÇATALCA,81,7,92%,8%
 ÇEKMEKÖY,191,13,94%,6%
 ESENLER,295,26,92%,8%
 ESENYURT,620,79,89%,11%
 EYÜPSULTAN,295,34,90%,10%
 FATIH,351,6,98%,2%
 GAZIOSMANPASA,348,37,90%,10%
 GÜNGÖREN,201,17,92%,8%
 KADIKÖY,447,62,88%,12%
 KAGITHANE,321,44,88%,12%
 KARTAL,320,65,83%,17%
 KÜÇÜKÇEKMECE,560,128,81%,19%
 MALTEPE,373,63,86%,14%
 PENDIK,453,90,83%,17%
 SANCAKTEPE,274,34,89%,11%
 SARIYER,277,32,90%,10%
 SILIVRI,140,23,86%,14%
 SULTANBEYLI,184,9,95%,5%
 SULTANGAZI,341,26,93%,7%
 SILE,79,12,87%,13%
 SISLI,220,56,80%,20%
 TUZLA,194,18,92%,8%
 ÜMRANIYE,440,55,89%,11%
 ÜSKÜDAR,332,76,81%,19%
 ZEYTINBURNU,187,22,89%,11%
