Ilçe,Ortalama Brüt (m2),Ortalama Net (m2)
 ADALAR,94,82
 ARNAVUTKÖY,102,93
 ATASEHIR,108,93
 AVCILAR,103,94
 BAGCILAR,105,96
 BAHÇELIEVLER,103,94
 BAKIRKÖY,109,99
 BASAKSEHIR,106,99
 BAYRAMPASA,93,83
 BESIKTAS,105,95
 BEYKOZ,105,94
 BEYLIKDÜZÜ,115,106
 BEYOGLU,87,77
 BÜYÜKÇEKMECE,113,105
 ÇATALCA,112,103
 ÇEKMEKÖY,103,96
 ESENLER,98,88
 ESENYURT,101,91
 EYÜPSULTAN,93,84
 FATIH,85,76
 GAZIOSMANPASA,95,85
 GÜNGÖREN,94,84
 KADIKÖY,104,95
 KAGITHANE,93,83
 KARTAL,104,93
 KÜÇÜKÇEKMECE,101,92
 MALTEPE,111,99
 PENDIK,101,89
 SANCAKTEPE,102,88
 SARIYER,98,89
 SILE,94,81
 SILIVRI,120,111
 SISLI,100,90
 SULTANBEYLI,111,95
 SULTANGAZI,96,87
 TUZLA,99,87
 ÜMRANIYE,99,88
 ÜSKÜDAR,103,95
 ZEYTINBURNU,94,84
