Ilçe, Hiz_Memnunum, Hiz_Ne Memnunum Ne Memnun Degilim, Hiz_Memnun Degilim, Hiz_Emin Degilim / Fikrim Yok, Fiyat_Memnunum, Fiyat_Ne Memnunum Ne Memnun Degilim, Fiyat_Memnun Degilim, Fiyat_Emin Degilim / Fikrim Yok,Baglanti kopma sorunu_Memnunum,Baglanti kopma sorunu_Ne Memnunum Ne Memnun Degilim,Baglanti kopma sorunu_Memnun Degilim,Baglanti kopma sorunu_Emin Degilim / Fikrim Yok,Müsteri Hizmetleri_Memnunum,Müsteri Hizmetleri_Ne Memnunum Ne Memnun Degilim,Müsteri Hizmetleri_Memnun Degilim,Müsteri Hizmetleri_Emin Degilim / Fikrim Yok
 ADALAR,18,8,35,1,10,15,36,1,14,14,32,2,21,15,23,3
 ARNAVUTKÖY,5,9,24,10,1,10,27,9,2,14,22,8,3,16,17,10
 ATASEHIR,111,44,53,24,77,51,78,26,83,56,67,26,100,51,52,29
 AVCILAR,34,66,15,24,24,76,18,19,23,75,17,20,29,70,15,24
 BAGCILAR,30,168,16,161,28,166,28,154,32,164,23,155,34,164,16,159
 BAHÇELIEVLER,20,48,23,7,12,41,38,6,19,49,25,5,17,39,21,20
 BAKIRKÖY,78,44,62,11,74,40,68,14,69,48,67,12,82,49,47,16
 BASAKSEHIR,59,55,106,11,42,42,110,25,47,55,96,17,49,65,95,8
 BAYRAMPASA,84,45,49,18,67,56,53,20,74,56,47,18,84,58,31,22
 BESIKTAS,66,63,44,17,55,68,51,15,60,63,51,13,62,66,39,21
 BEYKOZ,37,3,33,9,22,6,45,9,30,9,34,9,35,11,25,11
 BEYLIKDÜZÜ,61,38,28,13,41,43,42,13,39,54,32,14,48,46,32,13
 BEYOGLU,45,68,49,27,34,77,48,30,42,75,44,26,42,87,31,28
 BÜYÜKÇEKMECE,49,31,27,13,25,37,44,15,39,31,32,19,37,29,25,19
 ÇATALCA,12,11,11,0,7,14,11,3,9,13,12,0,12,5,11,6
 ÇEKMEKÖY,75,42,73,2,59,58,66,9,73,45,66,8,75,43,63,11
 ESENLER,93,53,96,43,69,56,115,45,72,68,97,49,95,63,80,47
 ESENYURT,109,130,86,27,81,110,127,32,95,111,113,31,96,121,100,27
 EYÜPSULTAN,109,55,98,41,69,73,117,44,95,65,98,45,96,76,72,56
 FATIH,107,87,77,51,79,107,86,50,89,117,65,51,113,105,50,52
 GAZIOSMANPASA,108,53,116,62,90,59,123,66,96,68,113,61,127,63,83,65
 GÜNGÖREN,73,42,54,41,41,42,86,40,60,54,54,41,80,50,38,40
 KADIKÖY,192,64,142,12,163,90,124,33,175,80,130,25,177,76,128,29
 KAGITHANE,132,56,109,50,94,79,117,56,104,70,118,53,137,69,81,57
 KARTAL,125,77,87,5,103,87,95,9,122,83,84,5,114,87,88,5
 KÜÇÜKÇEKMECE,20,33,33,11,7,33,46,9,13,32,35,12,8,29,43,11
 MALTEPE,190,55,78,9,120,96,108,8,141,82,102,7,186,74,59,13
 PENDIK,199,67,104,42,167,81,122,42,183,79,108,42,187,90,93,42
 SANCAKTEPE,101,21,101,23,75,23,118,30,80,22,121,23,99,29,91,27
 SARIYER,105,49,72,46,86,59,82,44,95,58,72,46,97,51,70,52
 SILE,17,23,29,2,7,30,31,3,10,36,22,3,11,35,22,3
 SILIVRI,36,20,20,14,28,21,28,14,38,24,18,12,37,15,18,12
 SISLI,104,76,64,23,81,88,72,25,83,97,62,24,90,106,44,24
 SULTANBEYLI,41,18,53,6,35,18,50,15,36,21,53,8,53,17,39,9
 SULTANGAZI,102,67,107,41,71,69,131,43,86,84,103,42,104,81,84,45
 TUZLA,75,38,39,7,62,39,51,7,60,48,43,8,55,50,47,7
 ÜMRANIYE,115,91,95,8,74,80,147,8,88,105,106,10,115,102,81,11
 ÜSKÜDAR,125,57,112,25,91,74,127,27,113,66,116,24,141,70,78,30
 ZEYTINBURNU,78,29,46,38,59,31,62,39,69,36,48,38,81,36,35,39
