LOCATION,NUMBER_OF_DISTINCT_USERS
FATIH,3414453.0
ZEYTINBURNU,2224762.0
BEYOGLU,1387926.0
KÜÇÜKÇEKMECE,1072615.0
KADIKÖY,980536.0
GÜNGÖREN,956409.0
BAHÇELIEVLER,947946.0
EYÜPSULTAN,789060.0
SISLI,781664.0
ÜMRANIYE,759744.0
ESENLER,753182.0
GAZIOSMANPASA,725571.0
SULTANGAZI,557447.0
ÜSKÜDAR,520059.0
SULTANBEYLI,462028.0
BAKIRKÖY,423430.0
BAYRAMPASA,406909.0
KARTAL,390863.0
BEYLIKDÜZÜ,384202.0
KAGITHANE,380780.0
BESIKTAS,355361.0
PENDIK,339357.0
MALTEPE,316156.0
AVCILAR,264165.0
ÇEKMEKÖY,242402.0
BAGCILAR,222191.0
SARIYER,215581.0
BEYKOZ,158424.0
SANCAKTEPE,151775.0
BASAKSEHIR,149306.0
ESENYURT,142625.0
BÜYÜKÇEKMECE,111827.0
TUZLA,102968.0
ÇATALCA,85691.0
ATASEHIR,74948.0
ARNAVUTKÖY,47858.0
SILE,39955.0
ADALAR,35412.0
SILIVRI,16207.0
