Ilçe,Egitim_Önemli Degil,Egitim_Ne Önemli Ne Önemli Degil,Egitim_Önemli,,Egitim_Önemli Degil,Egitim_Ne Önemli Ne Önemli Degil,Egitim_Önemli
 ADALAR,1,1,88,90,0.011111111,0.011111111,0.977777778
 ARNAVUTKÖY,9,51,139,199,0.045226131,0.256281407,0.698492462
 ATASEHIR,11,43,249,303,0.03630363,0.141914191,0.821782178
 AVCILAR,13,56,432,501,0.025948104,0.111776447,0.862275449
 BAGCILAR,4,22,293,319,0.012539185,0.068965517,0.918495298
 BAHÇELIEVLER,42,106,196,344,0.122093023,0.308139535,0.569767442
 BAKIRKÖY,1,5,183,189,0.005291005,0.026455026,0.968253968
 BASAKSEHIR,74,56,197,327,0.226299694,0.171253823,0.602446483
 BAYRAMPASA,4,12,158,174,0.022988506,0.068965517,0.908045977
 BESIKTAS,2,27,157,186,0.010752688,0.14516129,0.844086022
 BEYKOZ,3,33,221,257,0.011673152,0.128404669,0.859922179
 BEYLIKDÜZÜ,14,49,147,210,0.066666667,0.233333333,0.7
 BEYOGLU,7,34,181,222,0.031531532,0.153153153,0.815315315
 BÜYÜKÇEKMECE,9,14,98,121,0.074380165,0.115702479,0.809917355
 ÇATALCA,0,2,181,183,0,0.010928962,0.989071038
 ÇEKMEKÖY,0,25,288,313,0,0.079872204,0.920127796
 ESENLER,1,23,569,593,0.001686341,0.038785835,0.959527825
 ESENYURT,28,64,292,384,0.072916667,0.166666667,0.760416667
 EYÜPSULTAN,1,45,299,345,0.002898551,0.130434783,0.866666667
 FATIH,3,42,342,387,0.007751938,0.108527132,0.88372093
 GAZIOSMANPASA,4,22,199,225,0.017777778,0.097777778,0.884444444
 GÜNGÖREN,3,19,425,447,0.006711409,0.042505593,0.950782998
 KADIKÖY,19,74,329,422,0.045023697,0.17535545,0.779620853
 KAGITHANE,8,26,360,394,0.020304569,0.065989848,0.913705584
 KARTAL,8,26,263,297,0.026936027,0.087542088,0.885521886
 KÜÇÜKÇEKMECE,108,238,399,745,0.144966443,0.319463087,0.53557047
 MALTEPE,5,38,535,578,0.008650519,0.065743945,0.925605536
 PENDIK,2,27,291,320,0.00625,0.084375,0.909375
 SANCAKTEPE,5,7,264,276,0.018115942,0.025362319,0.956521739
 SARIYER,1,22,116,139,0.007194245,0.158273381,0.834532374
 SILE,1,3,235,239,0.0041841,0.012552301,0.983263598
 SILIVRI,8,30,190,228,0.035087719,0.131578947,0.833333333
 SISLI,7,35,199,241,0.029045643,0.145228216,0.825726141
 SULTANBEYLI,4,6,307,317,0.012618297,0.018927445,0.968454259
 SULTANGAZI,3,24,88,115,0.026086957,0.208695652,0.765217391
 TUZLA,1,11,442,454,0.002202643,0.024229075,0.973568282
 ÜMRANIYE,7,51,381,439,0.01594533,0.116173121,0.867881549
 ÜSKÜDAR,7,19,187,213,0.03286385,0.089201878,0.877934272
 ZEYTINBURNU,2,16,41,59,0.033898305,0.271186441,0.694915254
