Ilçe,Ortalama Yil
 ADALAR,18
 ARNAVUTKÖY,14
 ATASEHIR,12
 AVCILAR,9
 BAGCILAR,9
 BAHÇELIEVLER,10
 BAKIRKÖY,15
 BASAKSEHIR,9
 BAYRAMPASA,15
 BESIKTAS,17
 BEYKOZ,22
 BEYLIKDÜZÜ,8
 BEYOGLU,13
 BÜYÜKÇEKMECE,11
 ÇATALCA,21
 ÇEKMEKÖY,8
 ESENLER,13
 ESENYURT,7
 EYÜPSULTAN,13
 FATIH,14
 GAZIOSMANPASA,13
 GÜNGÖREN,14
 KADIKÖY,8
 KAGITHANE,12
 KARTAL,11
 KÜÇÜKÇEKMECE,10
 MALTEPE,11
 PENDIK,10
 SANCAKTEPE,9
 SARIYER,19
 SILIVRI,16
 SULTANBEYLI,12
 SULTANGAZI,12
 SILE,12
 SISLI,12
 TUZLA,8
 ÜMRANIYE,12
 ÜSKÜDAR,14
 ZEYTINBURNU,13
